Rk,player_name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary_rank,salary_20-21,salary_21-22,signed_using,guaranteed_money,salary_above_average
199,Killian Hayes,PG,19,DET,9,7,193,17,59,0.28800000000000003,6,25,0.24,11,34,0.324,0.33899999999999997,1,2,0.5,2,14,16,35,6,2,21,19,41,196,5307120,5572680,1st Round Pick,10879800,0
200,Gordon Hayward,SF,30,CHO,44,44,1496,311,658,0.473,85,205,0.415,226,453,0.499,0.537,156,185,0.843,37,221,258,181,52,14,91,74,863,35,28500000,29900000,Sign and Trade,120000000,1
201,Juan Hernangómez,PF,25,MIN,32,6,533,75,173,0.434,29,92,0.315,46,81,0.568,0.517,37,56,0.6609999999999999,31,107,138,19,13,2,14,29,216,176,6493000,7012440,Bird,13505440,0
202,Willy Hernangómez,C,26,NOP,27,2,443,76,141,0.539,1,8,0.125,75,133,0.564,0.5429999999999999,27,46,0.5870000000000001,65,110,175,30,9,12,15,32,180,380,1727145,0,Minimum Salary,700000,0
203,Tyler Herro,SG,21,MIA,39,14,1241,225,533,0.42200000000000004,72,223,0.32299999999999995,153,310,0.494,0.49,83,100,0.83,20,181,201,134,26,15,79,54,605,244,3822240,4004280,1st Round Pick,7826520,0
204,Buddy Hield,SG,28,SAC,51,51,1764,288,727,0.396,204,533,0.38299999999999995,84,194,0.433,0.536,63,74,0.851,21,211,232,162,42,18,89,130,843,45,24431818,22477273,1st Round pick,86000000,1
205,George Hill,PG,34,OKC,14,14,369,61,120,0.508,22,57,0.386,39,63,0.619,0.6,21,25,0.84,8,21,29,43,12,2,12,12,165,127,9590602,10047297,Cap Space,10866093,1
206,Solomon Hill,PF,29,ATL,49,4,944,72,196,0.36700000000000005,49,149,0.32899999999999996,23,47,0.489,0.49200000000000005,20,27,0.741,27,89,116,44,32,8,29,75,213,334,2174318,0,Cap Space,2174318,0
209,Aaron Holiday,PG,24,IND,46,6,798,120,310,0.387,45,132,0.341,75,178,0.42100000000000004,0.46,35,47,0.745,8,49,57,79,29,6,36,74,320,313,2345640,3980551,1st Round Pick,6326191,0
210,Jrue Holiday,PG,30,MIL,38,35,1203,257,505,0.509,71,182,0.39,186,323,0.5760000000000001,0.579,62,76,0.816,47,127,174,207,69,20,75,63,647,43,26131111,30133333,Bird Rights,123311110,1
211,Justin Holiday,SG,31,IND,48,39,1524,183,438,0.418,122,318,0.384,61,120,0.508,0.557,52,65,0.8,26,154,180,80,63,17,42,97,540,187,5720400,6006420,Non Bird,18019260,0
212,Richaun Holmes,C,27,SAC,47,47,1424,282,440,0.6409999999999999,2,9,0.222,280,431,0.65,0.643,100,125,0.8,126,298,424,80,31,79,57,173,666,203,5005350,0,Room Exception,5005350,0
213,Rodney Hood,SF,28,TOT,42,5,797,80,217,0.369,28,94,0.298,52,123,0.423,0.433,14,17,0.8240000000000001,19,58,77,47,21,5,33,65,202,119,10047450,10851246,Early Bird,10047450,1
214,Al Horford,C,34,OKC,28,28,782,162,360,0.45,56,152,0.368,106,208,0.51,0.528,18,22,0.818,29,159,188,94,25,26,29,48,398,40,27500000,27000000,Cap Space,69000000,1
215,Talen Horton-Tucker,SG,20,LAL,46,1,868,148,332,0.446,21,86,0.244,127,246,0.516,0.47700000000000004,60,72,0.833,19,103,122,101,40,20,64,94,377,419,1517981,0,Minimum Salary,1517981,0
216,Danuel House,SF,27,HOU,31,21,843,99,244,0.406,50,139,0.36,49,105,0.467,0.508,39,59,0.6609999999999999,18,103,121,59,19,14,30,61,287,248,3717000,3894000,MLE,7611000,0
217,Dwight Howard,C,35,PHI,50,5,876,129,221,0.584,4,14,0.28600000000000003,125,207,0.604,0.593,88,155,0.568,131,282,413,39,22,47,87,151,350,299,2564753,0,Minimum Salary,2564753,0
219,Kevin Huerter,SG,22,ATL,50,35,1540,218,522,0.418,103,285,0.361,115,237,0.485,0.516,40,49,0.816,31,135,166,173,60,11,62,119,579,288,2761920,4253357,1st Round Pick,7015277,0
220,Elijah Hughes,SF,22,UTA,10,0,38,7,18,0.389,5,13,0.385,2,5,0.4,0.528,3,4,0.75,0,6,6,4,1,1,5,0,22,457,898310,1517981,Minimum Salary,2416291,0
221,De'Andre Hunter,SF,23,ATL,20,18,625,112,223,0.502,31,87,0.35600000000000004,81,136,0.596,0.5720000000000001,65,75,0.867,16,86,102,42,18,10,27,53,320,160,7422000,7775400,1st Round Pick,15197400,0
222,Chandler Hutchison,SF,24,TOT,12,0,163,16,51,0.314,3,13,0.231,13,38,0.342,0.34299999999999997,8,9,0.889,4,38,42,7,4,0,14,17,43,310,2443440,4019459,1st Round Pick,2443440,0
223,Serge Ibaka,C,31,LAC,39,39,919,176,347,0.507,38,108,0.35200000000000004,138,239,0.5770000000000001,0.562,37,45,0.8220000000000001,68,193,261,68,9,46,44,74,427,135,9258000,9742000,MLE,9258000,1
