Rk,player_name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary_rank,salary_20-21,salary_21-22,signed_using,guaranteed_money,salary_above_average
320,Sam Merrill,SG,24,MIL,21,1,149,20,43,0.465,13,28,0.46399999999999997,7,15,0.467,0.616,2,2,1.0,6,14,20,16,5,1,8,8,55,463,898310,1517981,Minimum Salary,1398310,0
322,Khris Middleton,SF,29,MIL,48,48,1607,360,738,0.488,105,243,0.43200000000000005,255,495,0.515,0.5589999999999999,146,165,0.885,37,251,288,262,54,8,134,118,971,16,33051724,35500000,Bird Rights,106500000,1
323,Darius Miller,SF,30,OKC,18,0,197,22,48,0.45799999999999996,17,42,0.405,5,6,0.833,0.635,12,12,1.0,2,22,24,21,13,5,8,13,73,169,7000000,0,Early Bird Rights,7000000,0
324,Patty Mills,PG,32,SAS,47,0,1222,202,470,0.43,126,323,0.39,76,147,0.517,0.564,55,61,0.902,16,65,81,120,31,2,45,60,585,92,13285714,0,Bird Rights,13285714,1
325,Paul Millsap,PF,35,DEN,39,34,882,136,271,0.502,40,105,0.381,96,166,0.578,0.5760000000000001,52,74,0.703,56,131,187,67,36,25,33,80,364,122,10000000,0,Bird,10000000,1
326,Shake Milton,SG,24,PHI,42,2,1022,215,472,0.456,45,137,0.32799999999999996,170,335,0.507,0.503,116,134,0.866,25,72,97,127,28,11,72,91,591,382,1701593,1846738,Cap Space,3548331,0
327,Donovan Mitchell,SG,24,UTA,47,47,1570,408,937,0.435,159,402,0.396,249,535,0.465,0.52,220,261,0.843,46,162,208,255,48,13,133,102,1195,199,5195501,28103550,1st Round Pick,131099405,0
329,Malik Monk,SG,22,CHO,32,0,694,148,322,0.46,70,165,0.424,78,157,0.49700000000000005,0.568,53,65,0.815,12,73,85,61,16,4,47,39,419,195,5345687,0,1st Round Pick,5345687,0
330,E'Twaun Moore,SG,31,PHO,24,1,348,43,102,0.42200000000000004,8,29,0.276,35,73,0.479,0.461,8,10,0.8,13,29,42,35,14,4,18,31,102,315,2331593,0,Minimum Salary,2331593,0
331,Ja Morant,PG,21,MEM,39,39,1229,265,599,0.442,35,138,0.254,230,461,0.499,0.47200000000000003,176,233,0.755,36,96,132,293,35,7,112,58,741,136,9166800,9603360,1st Round Pick,18770160,1
333,Marcus Morris,PF,31,LAC,39,11,994,178,392,0.45399999999999996,96,204,0.47100000000000003,82,188,0.436,0.5770000000000001,47,55,0.855,25,127,152,41,19,10,34,78,499,81,14883721,15627907,Non Bird,64000000,1
334,Markieff Morris,PF,31,LAL,44,20,855,109,256,0.426,50,146,0.342,59,110,0.536,0.523,30,41,0.732,33,168,201,47,11,14,33,76,298,316,2331593,0,Minimum Salary,2331593,0
335,Monte Morris,PG,25,DEN,37,10,998,148,314,0.47100000000000003,41,117,0.35,107,197,0.5429999999999999,0.537,49,64,0.7659999999999999,8,73,81,123,27,10,25,37,386,390,1663861,8333333,Minimum Salary,27000000,0
336,Mychal Mulder,PG,26,GSW,41,2,412,50,123,0.40700000000000003,41,107,0.38299999999999995,9,16,0.563,0.573,10,17,0.588,1,34,35,16,8,8,9,28,151,428,1517981,1782621,,,0
337,Dejounte Murray,PG,24,SAS,46,46,1461,302,660,0.45799999999999996,41,133,0.308,261,527,0.495,0.489,77,95,0.8109999999999999,35,285,320,240,70,5,80,96,722,83,14285714,15428571,1st Round pick,64000000,1
338,Jamal Murray,PG,23,DEN,47,47,1671,373,777,0.48,128,311,0.41200000000000003,245,466,0.526,0.562,127,147,0.8640000000000001,36,154,190,227,61,12,104,93,1001,29,29250000,31590000,1st Round pick,169650000,1
339,Mike Muscala,C,29,OKC,35,0,645,119,267,0.446,68,184,0.37,51,83,0.614,0.573,33,36,0.917,19,113,132,28,8,11,21,54,339,326,2283034,0,Minimum Salary,2283034,0
340,Sviatoslav Mykhailiuk,SF-SG,23,TOT,46,10,863,123,310,0.397,72,217,0.332,51,93,0.5479999999999999,0.513,33,41,0.805,16,90,106,70,39,8,57,36,351,392,1663861,0,Cap Space,1663861,0
341,Abdel Nader,SF,27,PHO,24,0,355,57,116,0.491,18,43,0.419,39,73,0.534,0.569,28,37,0.757,7,55,62,19,10,9,19,34,160,377,1752950,0,Cap Space,1752950,0
342,Larry Nance Jr.,PF,28,CLE,29,27,950,115,236,0.48700000000000004,36,95,0.379,79,141,0.56,0.564,26,41,0.634,50,155,205,91,52,17,44,61,292,107,11709091,10690909,1st Round pick,32072727,1
343,Aaron Nesmith,SF,21,BOS,28,0,395,33,91,0.363,21,66,0.318,12,25,0.48,0.478,11,16,0.688,14,51,65,10,9,6,15,43,98,264,3458400,3631200,1st Round Pick,7089600,0
344,Raul Neto,PG,28,WAS,43,7,899,137,310,0.442,40,114,0.35100000000000003,97,196,0.495,0.506,36,45,0.8,17,84,101,96,48,4,33,71,350,364,1882867,0,Minimum Salary,1882867,0
345,Georges Niang,PF,27,UTA,50,0,685,98,229,0.428,66,166,0.39799999999999996,32,63,0.508,0.5720000000000001,5,5,1.0,16,90,106,36,14,6,32,74,267,372,1783557,0,,,0
346,Zeke Nnaji,PF,20,DEN,31,1,325,43,82,0.524,19,46,0.413,24,36,0.667,0.64,12,15,0.8,13,39,52,5,4,3,7,23,117,312,2379840,2498760,1st Round Pick,4878600,0
347,Nerlens Noel,C,26,NYK,45,22,1023,95,157,0.605,0,2,0.0,95,155,0.613,0.605,25,40,0.625,99,175,274,29,46,92,54,119,215,208,5000000,0,Cap Space,5000000,0
348,Jaylen Nowell,SG,21,MIN,36,0,687,135,304,0.444,47,132,0.35600000000000004,88,172,0.512,0.521,41,49,0.8370000000000001,18,66,84,59,21,10,27,67,358,427,1517981,1782621,,,0
349,Frank Ntilikina,PG,22,NYK,18,4,253,23,64,0.359,17,37,0.45899999999999996,6,27,0.222,0.49200000000000005,7,14,0.5,4,20,24,14,15,1,10,33,70,180,6176578,0,1st Round Pick,6176578,0
350,Kendrick Nunn,PG,25,MIA,38,26,1087,198,433,0.457,77,207,0.37200000000000005,121,226,0.535,0.546,39,43,0.907,16,103,119,100,39,9,58,69,512,394,1663861,0,Minimum Salary,1663861,0
351,Jusuf Nurkić,C,26,POR,17,17,378,64,132,0.485,6,18,0.33299999999999996,58,114,0.509,0.508,26,43,0.605,33,95,128,48,16,13,34,48,160,105,12000000,12000000,Bird Rights,16000000,1
352,David Nwaba,SF,28,HOU,30,9,679,106,218,0.486,17,63,0.27,89,155,0.574,0.525,47,68,0.691,40,78,118,31,30,21,17,60,276,369,1862250,0,MLE,1862250,0
353,Jordan Nwora,SF,22,MIL,18,1,152,27,67,0.40299999999999997,14,30,0.467,13,37,0.35100000000000003,0.507,13,17,0.765,3,28,31,4,10,3,15,12,81,461,898310,1517981,Minimum Salary,2416291,0
354,Royce O'Neale,SF,27,UTA,50,50,1586,121,277,0.43700000000000006,79,204,0.387,42,73,0.575,0.579,33,38,0.868,61,271,332,124,39,24,58,136,354,149,8035714,8678571,Cap space,36000000,1
355,Semi Ojeleye,PF,26,BOS,40,9,765,71,174,0.408,49,125,0.392,22,49,0.449,0.5489999999999999,22,30,0.733,25,92,117,30,11,0,16,44,213,378,1752950,0,Cap space,1752950,0
356,Jahlil Okafor,C,25,DET,12,0,120,25,42,0.595,0,3,0.0,25,39,0.6409999999999999,0.595,1,2,0.5,13,14,27,3,2,2,4,10,51,363,1882867,2130023,Minimum Salary,4012890,0
357,Chuma Okeke,PF,22,ORL,34,8,808,88,205,0.429,36,94,0.38299999999999995,52,111,0.46799999999999997,0.517,21,27,0.778,33,103,136,72,30,15,27,36,233,273,3121080,3277080,1st Round Pick,6398160,0
358,Josh Okogie,SG,22,MIN,39,23,777,58,165,0.35200000000000004,16,69,0.23199999999999998,42,96,0.43799999999999994,0.4,53,65,0.815,37,62,99,43,35,16,28,82,185,293,2651040,4087904,1st Round Pick,6738944,0
359,Onyeka Okongwu,C,20,ATL,28,1,268,38,61,0.623,0,1,0.0,38,60,0.633,0.623,18,30,0.6,23,53,76,6,11,15,13,44,94,186,5813640,6104280,1st Round Pick,11917920,0
360,Isaac Okoro,SG,20,CLE,45,45,1437,134,316,0.424,39,125,0.312,95,191,0.49700000000000005,0.486,56,82,0.6829999999999999,37,89,126,77,46,20,66,126,363,179,6400920,6720720,1st Round Pick,13121640,0
361,KZ Okpala,PF,21,MIA,25,9,322,27,66,0.409,11,37,0.297,16,29,0.552,0.49200000000000005,2,6,0.33299999999999996,15,35,50,11,6,8,12,44,67,406,1517981,1782621,MLE,3300602,0
362,Victor Oladipo,SG,28,TOT,31,31,1022,224,554,0.40399999999999997,75,232,0.32299999999999995,149,322,0.46299999999999997,0.47200000000000003,95,127,0.748,10,140,150,147,43,13,76,78,618,50,21000000,0,1st Round Pick,21000000,1
363,Kelly Olynyk,C-PF,29,TOT,49,41,1325,201,439,0.45799999999999996,91,275,0.331,110,164,0.6709999999999999,0.562,51,61,0.836,45,247,292,109,46,31,65,139,544,101,12198243,0,Cap space,12198243,1
364,Miye Oni,SG,23,UTA,35,0,302,24,64,0.375,21,56,0.375,3,8,0.375,0.539,5,6,0.833,16,43,59,10,5,7,11,40,74,424,1517981,1782621,,,0
365,Cedi Osman,SF,25,CLE,46,17,1131,158,449,0.35200000000000004,78,256,0.305,80,193,0.415,0.439,53,71,0.746,28,126,154,119,43,7,47,84,447,140,8750000,8050000,MLE,24150000,1
366,Daniel Oturu,C,21,LAC,18,0,77,12,23,0.522,0,1,0.0,12,22,0.545,0.522,2,4,0.5,8,13,21,6,1,3,5,12,26,462,898310,1517981,Minimum Salary,2416291,0
367,Kelly Oubre Jr.,SF,25,GSW,48,48,1468,275,631,0.436,74,243,0.305,201,388,0.518,0.494,98,142,0.69,71,219,290,66,50,38,58,109,722,82,14375000,0,Bird Rights,14375000,1
368,Jabari Parker,PF,25,SAC,3,0,27,4,7,0.5710000000000001,0,1,0.0,4,6,0.667,0.5710000000000001,0,0,0.7466597938144333,1,5,6,1,0,1,3,4,8,175,6500000,0,,6500000,0
369,Eric Paschall,PF,24,GSW,39,2,676,144,293,0.491,17,53,0.321,127,240,0.529,0.52,64,89,0.7190000000000001,27,97,124,51,12,7,41,65,369,407,1517981,1782621,MLE,3300602,0
370,Anžejs Pasečņiks,C,25,WAS,1,0,6,0,1,0.0,0,1,0.0,0,0,0.5024249011857715,0.0,0,0,0.7466597938144333,1,0,1,1,0,0,5,2,0,484,350000,0,,350000,0
371,Patrick Patterson,PF,31,LAC,22,2,295,38,82,0.46299999999999997,22,57,0.386,16,25,0.64,0.598,8,10,0.8,7,29,36,12,10,6,8,30,106,475,3814768,737066,,1474133,0
373,Chris Paul,PG,35,PHO,48,48,1525,291,591,0.49200000000000005,64,173,0.37,227,418,0.5429999999999999,0.547,123,133,0.925,19,205,224,421,70,11,110,117,769,3,41358814,44211146,Bird Rights,41358814,1
374,Cameron Payne,PG,26,PHO,38,0,647,97,206,0.47100000000000003,36,91,0.396,61,115,0.53,0.5579999999999999,26,29,0.897,8,78,86,141,22,9,40,66,256,355,1977011,0,Minimum Salary,1977011,0
375,Elfrid Payton,PG,26,NYK,42,42,1120,207,475,0.436,19,78,0.244,188,397,0.474,0.456,66,93,0.71,54,104,158,148,33,9,73,80,499,218,5760000,0,Cap Space,5760000,0
376,Norvel Pelle,C,27,TOT,5,0,35,3,8,0.375,0,0,0.31116155419222935,3,8,0.375,0.375,4,6,0.667,4,7,11,1,0,5,3,10,10,490,217845,0,,217845,0
379,Mason Plumlee,C,30,DET,47,47,1289,196,324,0.605,0,7,0.0,196,317,0.618,0.605,100,151,0.662,126,314,440,167,40,43,92,163,492,150,8000000,8137500,Cap space,24662500,1
380,Jakob Poeltl,C,25,SAS,48,30,1228,176,282,0.624,0,0,0.31116155419222935,176,282,0.624,0.624,35,86,0.40700000000000003,153,233,386,84,29,78,60,107,387,146,8101852,8750000,Bird,26250000,1
381,Vincent Poirier,C,27,PHI,10,0,39,3,12,0.25,0,1,0.0,3,11,0.273,0.25,2,6,0.33299999999999996,6,8,14,2,0,3,4,8,8,294,2619207,0,,2619207,0
382,Aleksej Pokusevski,PF,19,OKC,30,13,706,81,251,0.32299999999999995,34,129,0.264,47,122,0.385,0.39,20,24,0.833,23,116,139,57,14,31,54,34,216,281,2964840,3113160,1st Round Pick,6078000,0
383,Jordan Poole,SG,21,GSW,29,6,505,107,242,0.442,50,138,0.36200000000000004,57,104,0.5479999999999999,0.545,48,53,0.9059999999999999,5,40,45,48,11,3,24,42,312,342,2063280,2161440,1st Round Pick,4224720,0
384,Jontay Porter,PF,21,MEM,4,0,15,2,6,0.33299999999999996,1,4,0.25,1,2,0.5,0.41700000000000004,0,0,0.7466597938144333,2,6,8,1,2,0,4,3,5,362,1904762,2000000,MLE,6000000,0
385,Kevin Porter Jr.,SG,20,HOU,13,10,394,79,182,0.434,17,72,0.23600000000000002,62,110,0.564,0.48100000000000004,28,42,0.667,6,41,47,79,12,6,43,27,203,346,2033160,2130240,1st Round Pick,4163400,0
386,Michael Porter Jr.,SF,22,DEN,39,32,1171,248,462,0.537,96,214,0.449,152,248,0.613,0.6409999999999999,60,80,0.75,70,224,294,39,25,37,43,83,652,256,3550800,5258735,1st Round Pick,8809535,0
387,Otto Porter,SF-PF,27,TOT,28,6,606,98,227,0.43200000000000005,39,104,0.375,59,123,0.48,0.518,36,42,0.857,28,124,152,55,16,4,25,41,271,36,28489239,0,Bird Rights,28489239,1
388,Bobby Portis,C,25,MIL,45,2,940,210,389,0.54,49,104,0.47100000000000003,161,285,0.565,0.603,30,40,0.75,77,229,306,48,34,17,35,79,499,253,3623000,3804150,Bi-Annual Exception,3623000,0
389,Kristaps Porziņģis,C,25,DAL,31,31,949,236,498,0.474,70,195,0.359,166,303,0.5479999999999999,0.544,83,101,0.8220000000000001,56,219,275,49,14,50,42,83,625,24,29467800,31650600,Bird Rights,94951800,1
390,Dwight Powell,C,29,DAL,35,8,518,51,105,0.486,5,18,0.278,46,87,0.529,0.51,53,68,0.779,40,78,118,29,17,12,18,82,160,118,10185185,11000000,Cap Space,33000000,1
391,Norman Powell,SG-SF,27,TOT,47,36,1429,308,623,0.494,129,293,0.44,179,330,0.542,0.598,154,182,0.846,25,116,141,83,59,11,85,111,899,112,10865952,11615328,Cap Space,10865952,1
392,Taurean Prince,PF,26,TOT,33,10,717,93,248,0.375,45,119,0.37799999999999995,48,129,0.37200000000000005,0.466,55,65,0.846,16,104,120,58,20,21,34,61,286,85,13942308,15057692,1st Round pick,29000000,1
393,Payton Pritchard,SG,23,BOS,44,1,856,116,258,0.45,59,144,0.41,57,114,0.5,0.564,21,24,0.875,23,74,97,85,25,7,38,82,312,345,2035800,2137440,1st Round Pick,4173240,0
394,Immanuel Quickley,PG,21,NYK,46,3,908,174,453,0.384,85,230,0.37,89,223,0.39899999999999997,0.478,126,141,0.894,20,87,107,103,24,11,44,89,559,338,2105520,2210640,1st Round Pick,4316160,0
395,Jahmi'us Ramsey,SG,19,SAC,5,0,17,3,5,0.6,1,3,0.33299999999999996,2,2,1.0,0.7,0,0,0.7466597938144333,0,4,4,1,0,1,1,0,7,449,1000000,1517981,MLE,2517981,0
397,Julius Randle,PF,26,NYK,50,50,1849,410,883,0.46399999999999997,101,247,0.409,309,636,0.486,0.522,226,285,0.7929999999999999,67,472,539,298,43,12,169,156,1147,58,18900000,19800000,Cap Space,22900000,1
398,Cam Reddish,SF,21,ATL,26,21,750,96,263,0.365,33,126,0.262,63,137,0.46,0.428,67,82,0.8170000000000001,22,82,104,35,33,9,34,68,292,224,4458000,4670160,1st Round Pick,9128160,0
399,J.J. Redick,SG,36,NOP,31,0,576,87,214,0.40700000000000003,51,140,0.364,36,74,0.486,0.526,45,47,0.9570000000000001,3,49,52,40,9,2,25,37,270,94,13013700,0,Cap Space,13013700,1
401,Naz Reid,C,21,MIN,49,13,939,205,395,0.519,41,115,0.35700000000000004,164,280,0.586,0.5710000000000001,84,117,0.718,54,166,220,54,28,54,50,128,535,426,1517981,1782621,,,0
403,Nick Richards,PF,23,CHO,13,0,51,4,7,0.5710000000000001,0,0,0.31116155419222935,4,7,0.5710000000000001,0.5710000000000001,7,11,0.636,2,7,9,1,0,0,3,5,15,453,1000000,0,Cap Space,1000000,0
404,Josh Richardson,SG,27,DAL,39,39,1248,178,405,0.44,64,189,0.33899999999999997,114,216,0.528,0.519,75,81,0.9259999999999999,32,108,140,108,35,15,60,99,495,114,10800000,11600000,Minimum Salary,10800000,1
406,Austin Rivers,SG,28,NYK,21,2,442,58,135,0.43,28,77,0.364,30,58,0.517,0.5329999999999999,10,14,0.7140000000000001,5,42,47,42,12,0,22,32,154,271,3174603,0,,3174603,0
407,Andre Roberson,SG,29,BRK,5,0,63,2,14,0.14300000000000002,1,8,0.125,1,6,0.16699999999999998,0.179,1,2,0.5,7,8,15,4,3,1,2,4,6,491,152839,0,,152839,0
408,Duncan Robinson,SF,26,MIA,50,50,1637,218,500,0.436,173,429,0.40299999999999997,45,71,0.634,0.609,47,56,0.8390000000000001,4,187,191,89,27,11,60,126,656,395,1663861,0,MLE,1663861,0
409,Glenn Robinson III,SF,27,SAC,23,2,369,42,99,0.424,16,44,0.364,26,55,0.473,0.505,21,23,0.9129999999999999,11,34,45,20,4,3,11,23,121,455,930930,0,,930930,0
410,Jerome Robinson,SG,23,WAS,17,6,305,28,95,0.295,11,42,0.262,17,53,0.321,0.353,16,20,0.8,4,34,38,25,12,6,19,31,83,247,3737520,0,1st Round Pick,3737520,0
412,Mitchell Robinson,C,22,NYK,31,29,853,115,176,0.653,0,0,0.31116155419222935,115,176,0.653,0.653,26,53,0.491,113,139,252,17,35,45,26,86,256,393,1663861,1802057,MLE,1663861,0
413,Isaiah Roby,PF,22,OKC,43,23,1008,147,293,0.502,22,70,0.314,125,223,0.561,0.539,66,93,0.71,67,177,244,76,36,29,78,113,382,418,1517981,1782621,MLE,1517981,0
414,Rajon Rondo,PG,34,TOT,28,2,415,45,113,0.39799999999999996,17,45,0.37799999999999995,28,68,0.41200000000000003,0.473,1,2,0.5,4,52,56,98,21,2,43,29,108,159,7500000,7500000,Cap Space,15000000,0
415,Derrick Rose,PG,32,TOT,30,3,715,148,351,0.42200000000000004,29,80,0.363,119,271,0.439,0.46299999999999997,67,81,0.8270000000000001,10,56,66,124,34,12,50,32,392,157,7682927,0,MLE,7682927,0
416,Terrence Ross,SG,29,ORL,40,2,1182,225,557,0.40399999999999997,85,246,0.34600000000000003,140,311,0.45,0.48,105,118,0.89,13,124,137,94,44,19,66,80,640,88,13500000,12500000,Bird Rights,37500000,1
417,Terry Rozier,SG,26,CHO,47,47,1570,340,729,0.466,155,380,0.408,185,349,0.53,0.573,123,147,0.8370000000000001,26,167,193,162,59,17,89,82,958,57,18900000,17905263,Sign and Trade,36805263,1
418,Ricky Rubio,PG,30,MIN,47,32,1242,127,332,0.38299999999999995,37,130,0.285,90,202,0.446,0.43799999999999994,97,114,0.851,20,128,148,321,64,3,90,103,388,66,17000000,17809524,Cap Space,34809524,1
419,D'Angelo Russell,PG,24,MIN,21,19,608,146,345,0.423,63,155,0.406,83,190,0.43700000000000006,0.514,55,73,0.753,10,47,57,104,23,11,56,41,410,33,28649250,30013500,Sign and Trade,90040500,1
420,Domantas Sabonis,PF,24,IND,47,47,1688,353,671,0.526,36,118,0.305,317,553,0.573,0.5529999999999999,195,271,0.72,120,412,532,283,55,26,159,159,937,65,17187500,18562500,1st Round pick,77000000,1
421,Luka Šamanić,PF,21,SAS,20,2,193,28,62,0.452,8,32,0.25,20,30,0.667,0.516,11,20,0.55,11,36,47,10,4,3,13,23,75,286,2824320,2959080,1st Round Pick,5783400,0
422,JaKarr Sampson,PF,27,IND,18,0,120,17,39,0.436,2,7,0.28600000000000003,15,32,0.469,0.462,10,14,0.7140000000000001,11,25,36,1,2,4,7,13,46,365,1882867,0,Minimum Salary,1882867,0
423,Dario Šarić,C,26,PHO,31,0,571,112,242,0.46299999999999997,35,99,0.354,77,143,0.5379999999999999,0.535,53,60,0.883,30,98,128,42,17,3,39,64,312,142,8333333,9000000,Bird,27000000,1
424,Tomáš Satoranský,SG,29,CHI,37,12,855,113,216,0.523,32,77,0.41600000000000004,81,139,0.583,0.597,47,51,0.922,21,75,96,185,29,9,63,58,305,121,10000000,10000000,Sign and Trade,15000000,1
425,Dennis Schröder,SG,27,LAL,46,46,1461,242,561,0.431,48,147,0.327,194,414,0.469,0.474,171,205,0.8340000000000001,23,139,162,234,56,11,127,125,703,75,15500000,0,1st Round Pick,15500000,1
426,Mike Scott,PF,32,PHI,31,8,551,44,126,0.349,33,99,0.33299999999999996,11,27,0.40700000000000003,0.48,6,10,0.6,8,80,88,20,18,5,16,43,127,205,5005350,0,Room Exception,5005350,0
427,Collin Sexton,SG,22,CLE,43,43,1542,378,790,0.478,69,192,0.359,309,598,0.517,0.522,204,250,0.816,33,90,123,179,51,4,117,117,1029,210,4991880,6349671,1st Round Pick,11341551,0
428,Landry Shamet,SG,23,BRK,41,1,828,109,273,0.39899999999999997,79,203,0.389,30,70,0.429,0.544,38,45,0.8440000000000001,9,64,73,46,19,5,30,53,335,340,2090040,3768342,1st Round Pick,5858382,0
429,Iman Shumpert,SG,30,BRK,2,0,11,1,4,0.25,0,3,0.0,1,1,1.0,0.25,0,0,0.7466597938144333,1,0,1,0,1,0,1,0,2,480,447155,0,,447155,0
430,Pascal Siakam,PF,26,TOR,41,41,1444,302,665,0.45399999999999996,52,176,0.295,250,489,0.511,0.493,181,217,0.8340000000000001,73,226,299,191,46,26,84,131,837,30,29000000,31320000,1st Round pick,129920000,1
431,Chris Silva,PF,24,TOT,13,0,87,10,15,0.667,1,1,1.0,9,14,0.643,0.7,11,15,0.733,7,19,26,6,1,5,10,21,32,415,1517981,1782621,MLE,1517981,0
432,Ben Simmons,PG,24,PHI,42,42,1403,247,453,0.545,3,9,0.33299999999999996,244,444,0.55,0.5489999999999999,143,224,0.638,74,258,332,304,63,27,146,132,640,28,29250000,31590000,1st Round pick,169650000,1
433,Anfernee Simons,SG,21,POR,42,0,709,115,282,0.408,84,201,0.418,31,81,0.38299999999999995,0.557,29,36,0.8059999999999999,8,89,97,62,8,5,33,72,343,328,2252040,3938818,1st Round Pick,6190858,0
434,Deividas Sirvydis,SG,20,DET,12,0,26,4,12,0.33299999999999996,4,10,0.4,0,2,0.0,0.5,3,4,0.75,0,7,7,1,1,0,1,1,15,456,898310,1517981,Cap Space,4198912,0
435,Alen Smailagić,PF,20,GSW,5,1,26,4,10,0.4,2,5,0.4,2,5,0.4,0.5,1,4,0.25,2,1,3,0,0,1,0,5,11,422,1517981,1782621,MLE,1517581,0
436,Marcus Smart,PG,26,BOS,31,28,987,130,322,0.40399999999999997,59,175,0.337,71,147,0.483,0.495,80,102,0.784,17,76,93,170,47,16,51,76,399,89,13446428,14339285,Bird Rights,27785713,1
437,Dennis Smith Jr.,PG,23,TOT,20,7,361,53,132,0.402,18,53,0.34,35,79,0.44299999999999995,0.47,12,18,0.667,11,42,53,68,21,14,24,31,136,188,5686677,0,1st Round Pick,5686677,0
438,Ish Smith,PG,32,WAS,21,1,434,50,134,0.373,6,21,0.28600000000000003,44,113,0.389,0.396,8,17,0.47100000000000003,11,62,73,95,16,4,23,22,114,182,6146341,0,MLE,6146341,0
439,Jalen Smith,PF,20,PHO,16,0,73,9,25,0.36,2,10,0.2,7,15,0.467,0.4,1,3,0.33299999999999996,5,11,16,2,0,2,4,9,21,227,4245720,4458000,1st Round Pick,8703720,0
440,Tony Snell,SG,29,ATL,37,18,783,73,139,0.525,54,94,0.574,19,45,0.42200000000000004,0.7190000000000001,7,7,1.0,13,72,85,49,6,9,17,57,207,102,12178571,0,Cap space,12178571,1
444,Isaiah Stewart,C,19,DET,48,3,923,132,237,0.557,10,24,0.41700000000000004,122,213,0.573,0.578,35,50,0.7,103,174,277,37,25,51,44,119,309,274,3121080,3277080,1st Round Pick,6398160,0
446,Edmond Sumner,SG,25,IND,35,7,462,76,151,0.503,20,53,0.377,56,98,0.5710000000000001,0.57,35,43,0.8140000000000001,13,47,60,24,17,4,30,48,207,336,2160000,2320000,Cap Space,2160000,0
447,Jae'Sean Tate,SF,25,HOU,50,38,1430,216,413,0.523,43,128,0.336,173,285,0.607,0.575,68,93,0.731,96,174,270,100,55,29,58,158,543,435,1445967,1517981,MLE,50000,0
448,Jayson Tatum,SF,22,BOS,44,44,1559,407,899,0.45299999999999996,124,327,0.379,283,572,0.495,0.522,171,198,0.8640000000000001,32,274,306,187,57,20,106,84,1109,123,9897120,28103550,1st Round Pick,135801024,1
449,Jeff Teague,PG,32,TOT,36,5,647,80,193,0.415,26,58,0.44799999999999995,54,135,0.4,0.48200000000000004,51,61,0.836,10,49,59,80,26,9,40,43,237,468,3372826,0,,808073,0
450,Garrett Temple,SG,34,CHI,37,12,1002,112,264,0.424,46,137,0.336,66,127,0.52,0.511,31,38,0.816,21,92,113,73,33,18,36,85,301,216,4767000,0,MLE,4767000,0
451,Tyrell Terry,PG,20,DAL,11,0,56,5,16,0.313,0,7,0.0,5,9,0.556,0.313,1,3,0.33299999999999996,0,6,6,6,5,0,2,2,11,444,1289846,1517981,MLE,4590448,0
452,Daniel Theis,C,28,TOT,46,37,1113,169,309,0.547,35,103,0.34,134,206,0.65,0.604,49,74,0.662,57,178,235,75,26,48,44,124,422,209,5000000,0,,,0
454,Matt Thomas,SG,26,TOT,29,0,222,29,76,0.382,19,51,0.373,10,25,0.4,0.507,6,7,0.857,4,23,27,14,3,0,10,13,83,423,1517981,1782621,MLE,725000,0
455,Tristan Thompson,PF,29,BOS,36,31,811,119,223,0.534,0,3,0.0,119,220,0.541,0.534,48,80,0.6,113,189,302,36,13,13,35,75,286,134,9258000,9720900,MLE,18978900,1
456,Sindarius Thornwell,SG,26,NOP,14,1,73,7,21,0.33299999999999996,3,9,0.33299999999999996,4,12,0.33299999999999996,0.405,0,2,0.0,1,4,5,4,5,1,4,3,17,473,747435,0,,747435,0
457,Matisse Thybulle,SG,23,PHI,47,5,901,67,167,0.401,31,102,0.304,36,65,0.5539999999999999,0.494,8,14,0.5710000000000001,23,63,86,46,70,46,19,94,173,291,2711280,2840160,1st Round Pick,5551440,0
459,Xavier Tillman Sr.,PF,22,MEM,37,7,690,97,188,0.516,11,42,0.262,86,146,0.589,0.545,25,35,0.7140000000000001,45,107,152,50,30,21,27,82,230,443,1300000,1517981,MLE,4600602,0
460,Obi Toppin,PF,22,NYK,41,0,480,72,149,0.483,18,59,0.305,54,90,0.6,0.544,13,18,0.722,17,70,87,22,11,11,20,42,175,213,4862040,5105160,1st Round Pick,9967200,0
463,Karl-Anthony Towns,C,25,MIN,31,31,1067,268,550,0.48700000000000004,73,188,0.38799999999999996,195,362,0.539,0.5539999999999999,152,173,0.879,86,257,343,134,25,46,96,109,761,26,29430000,31610000,1st Round Pick,128620000,1
464,Gary Trent Jr.,SG,22,TOT,47,29,1456,256,611,0.419,139,348,0.39899999999999997,117,263,0.445,0.5329999999999999,62,81,0.765,22,89,111,66,43,8,32,75,713,391,1663861,0,MLE,1663861,0
465,P.J. Tucker,PF,35,TOT,35,32,1003,49,135,0.363,28,90,0.311,21,45,0.467,0.467,18,23,0.7829999999999999,36,118,154,46,29,20,33,93,144,152,7969537,0,MLE,7969537,1
466,Rayjon Tucker,PG,23,PHI,5,0,23,1,4,0.25,1,2,0.5,0,2,0.0,0.375,8,8,1.0,1,3,4,1,0,0,0,3,11,485,340000,0,,340000,0
